date,new_diagnoses,new_tests,new_deaths
31/07/21,989,107285,19
01/08/21,784,91123,15
02/08/21,1275,176197,19
03/08/21,1182,154102,13
04/08/21,1065,119188,19
05/08/21,1067,131862,17
06/08/21,975,115049,14
07/08/21,986,118902,15
08/08/21,568,58728,15
09/08/21,1120,140454,17
10/08/21,929,114152,16
11/08/21,886,101668,14
12/08/21,935,111728,17
13/08/21,763,115465,20
14/08/21,755,107473,11
15/08/21,411,49693,10
16/08/21,758,110581,10
17/08/21,741,101730,11
18/08/21,639,83282,15
19/08/21,713,96200,10
20/08/21,708,100079,13
21/08/21,640,82729,15
22/08/21,336,35580,10
23/08/21,700,94636,11
24/08/21,555,94002,13
25/08/21,689,90547,7
26/08/21,562,81826,11
27/08/21,499,75004,9
28/08/21,586,84785,9
29/08/21,293,39337,4
30/08/21,538,79140,15
31/08/21,570,88519,5
01/09/21,573,79121,11
02/09/21,554,84246,6
03/09/21,564,91778,6
04/09/21,542,79462,10
05/09/21,321,36729,6
06/09/21,636,91028,11
07/09/21,471,80937,9
08/09/21,427,65256,4
09/09/21,437,79245,4
10/09/21,396,76432,5
11/09/21,499,71638,8
12/09/21,259,31906,11
13/09/21,564,79534,7
14/09/21,493,70893,9
15/09/21,444,61642,8
16/09/21,468,59020,4
17/09/21,270,55049,9
18/09/21,365,55861,2
19/09/21,259,28251,7
20/09/21,455,72650,10
21/09/21,441,64421,6
22/09/21,407,61076,4
23/09/21,371,63821,10
24/09/21,406,61092,7
25/09/21,375,52693,4
26/09/21,196,25167,5
27/09/21,412,55009,8
28/09/21,390,56236,10
29/09/21,366,50692,7
30/09/21,376,47611,5
01/10/21,303,47515,3
02/10/21,246,44528,4
03/10/21,193,30035,1
04/10/21,333,50424,9
05/10/21,385,46051,7
06/10/21,300,44272,6
07/10/21,295,45454,8
08/10/21,318,43977,5
09/10/21,273,43625,5
10/10/21,160,24900,5
11/10/21,270,46429,5
12/10/21,226,28954,3
13/10/21,175,20653,2
14/10/21,207,13548,2
15/10/21,147,15805,1
16/10/21,269,32791,5
17/10/21,205,19350,6
18/10/21,298,41043,7
19/10/21,353,39654,0
20/10/21,308,39654,1
21/10/21,384,62536,4
22/10/21,315,38899,2
23/10/21,324,39768,3
24/10/21,139,19713,6
25/10/21,326,50253,5
26/10/21,347,42670,3
27/10/21,244,37836,6
28/10/21,322,39629,2
29/10/21,322,43841,3